yyyyq,B.1.1.529,B.1.617.2,BA.1.1,BA.2,BA.2.12.1,BA.4,BA.5,Other
2021-Q2,0.008899762,18.51854404,0.032539717,0,0,0,0,81.44001551
2021-Q3,0,93.67694763,0,0,0,0,0,6.323052155
2021-Q4,5.261811228,89.66880234,3.880914335,0.001775727,0.001466776,0.00034699,4.95699E-05,1.18483267
2022-Q1,23.2020881,1.493500002,62.89641811,11.77559334,0.494950784,0.000819571,0.000409786,0.1362211
2022-Q2,0.313676223,0.010816296,3.044135492,43.73212339,41.11466373,3.741447212,7.952494774,0.090642399
2022-Q3,8.68936E-05,5.08522E-07,7.37547E-05,2.817126736,27.16143429,16.45933241,53.55868936,0.003259067
