WeekEndDate,Variant,CasesDeath,Number
7/17/2021,All,Deaths,1974
7/17/2021,B11529,Cases,0
7/17/2021,B11529,Deaths,0
7/17/2021,B16172,Cases,206224
7/17/2021,B16172,Deaths,1731
7/17/2021,BA11,Cases,0
7/17/2021,BA11,Deaths,0
7/17/2021,BA2,Cases,0
7/17/2021,BA2,Deaths,0
7/17/2021,BA2121,Cases,0
7/17/2021,BA2121,Deaths,0
7/17/2021,BA4,Cases,0
7/17/2021,BA4,Deaths,0
7/17/2021,BA5,Cases,0
7/17/2021,BA5,Deaths,0
7/17/2021,Other,Cases,28896
7/17/2021,Other,Deaths,243
7/24/2021,All,Cases,381714
7/24/2021,All,Deaths,2165
7/24/2021,B11529,Cases,0
7/24/2021,B11529,Deaths,0
7/24/2021,B16172,Cases,360274
7/24/2021,B16172,Deaths,2043
7/24/2021,BA11,Cases,0
7/24/2021,BA11,Deaths,0
7/24/2021,BA2,Cases,0
7/24/2021,BA2,Deaths,0
7/24/2021,BA2121,Cases,0
7/24/2021,BA2121,Deaths,0
7/24/2021,BA4,Cases,0
7/24/2021,BA4,Deaths,0
7/24/2021,BA5,Cases,0
7/24/2021,BA5,Deaths,0
7/24/2021,Other,Cases,21440
7/24/2021,Other,Deaths,122
7/31/2021,All,Cases,576606
7/31/2021,All,Deaths,3087
7/31/2021,B11529,Cases,0
7/31/2021,B11529,Deaths,0
7/31/2021,B16172,Cases,555761
7/31/2021,B16172,Deaths,2975
7/31/2021,BA11,Cases,0
7/31/2021,BA11,Deaths,0
7/31/2021,BA2,Cases,0
7/31/2021,BA2,Deaths,0
7/31/2021,BA2121,Cases,0
7/31/2021,BA2121,Deaths,0
7/31/2021,BA4,Cases,0
7/31/2021,BA4,Deaths,0
7/31/2021,BA5,Cases,0
7/31/2021,BA5,Deaths,0
7/31/2021,Other,Cases,20845
7/31/2021,Other,Deaths,112
8/7/2021,All,Cases,779158
8/7/2021,All,Deaths,4736
8/7/2021,B11529,Cases,0
8/7/2021,B11529,Deaths,0
8/7/2021,B16172,Cases,752929
8/7/2021,B16172,Deaths,4577
8/7/2021,BA11,Cases,0
8/7/2021,BA11,Deaths,0
8/7/2021,BA2,Cases,0
8/7/2021,BA2,Deaths,0
8/7/2021,BA2121,Cases,0
8/7/2021,BA2121,Deaths,0
8/7/2021,BA4,Cases,0
8/7/2021,BA4,Deaths,0
8/7/2021,BA5,Cases,0
8/7/2021,BA5,Deaths,0
8/7/2021,Other,Cases,26229
8/7/2021,Other,Deaths,159
8/14/2021,All,Cases,912209
8/14/2021,All,Deaths,5917
8/14/2021,B11529,Cases,0
8/14/2021,B11529,Deaths,0
8/14/2021,B16172,Cases,900506
8/14/2021,B16172,Deaths,5841
8/14/2021,BA11,Cases,0
8/14/2021,BA11,Deaths,0
8/14/2021,BA2,Cases,0
8/14/2021,BA2,Deaths,0
8/14/2021,BA2121,Cases,0
8/14/2021,BA2121,Deaths,0
8/14/2021,BA4,Cases,0
8/14/2021,BA4,Deaths,0
8/14/2021,BA5,Cases,0
8/14/2021,BA5,Deaths,0
8/14/2021,Other,Cases,11703
8/14/2021,Other,Deaths,76
8/21/2021,All,Cases,1027596
8/21/2021,All,Deaths,8360
8/21/2021,B11529,Cases,0
8/21/2021,B11529,Deaths,0
8/21/2021,B16172,Cases,1012872
8/21/2021,B16172,Deaths,8240
8/21/2021,BA11,Cases,0
8/21/2021,BA11,Deaths,0
8/21/2021,BA2,Cases,0
8/21/2021,BA2,Deaths,0
8/21/2021,BA2121,Cases,0
8/21/2021,BA2121,Deaths,0
8/21/2021,BA4,Cases,0
8/21/2021,BA4,Deaths,0
